0,noname@zdrowakrowa.com.pl,+48000000000,2022-12-22 13:51:00.320
100,julka@gmail.com,+48123456709,2022-12-22 13:51:10.823
101,kulka@gmail.com,+48123456781,2022-12-22 13:51:10.827
102,gramulka@gmail.com,+48123456782,2022-12-22 13:51:10.827
103,kamil@gmail.com,+48123456783,2022-12-22 13:51:10.830
104,vladimir@g.co,+48987653321,2022-12-22 13:51:10.830
105,student1@g.co,+48487654321,2022-12-22 13:51:10.830
106,student2@g.co,+48982354321,2022-12-22 13:51:10.830
107,student3@g.co,+48987652341,2022-12-22 13:51:10.833
108,student4@g.co,+48982544321,2022-12-22 13:51:10.833
109,student5@g.co,+48987654334,2022-12-22 13:51:10.833
110,student6@g.co,+48987652353,2022-12-22 13:51:10.833
111,contact@google.com,+48909191200,2022-12-22 13:51:10.833
112,contact@fb.com,+48909391200,2022-12-22 13:51:10.837
113,contact@amazon.com,+48909112600,2022-12-22 13:51:10.837
114,contact@apple.com,+48909123405,2022-12-22 13:51:10.837
115,contact@nokia.com,+48909123450,2022-12-22 13:51:10.837
116,contact@swmansion.com,+48569091200,2022-12-22 13:51:10.837
117,contact@agh.edu.pl,+48952291200,2022-12-22 13:51:10.837
118,contact@uj.edu.pl,+48909191350,2022-12-22 13:51:10.837
119,contact@tl.krakow.pl,+48909221200,2022-12-22 13:51:10.840
120,contact@biedronka.pl,+48200200300,2022-12-22 13:51:10.840
121,contact@lidl.com,+48900200300,2022-12-22 13:51:10.840
122,jan.kowalski@gmail.com,+48123450789,2022-01-01 00:00:00.000
123,anna.nowak@interia.pl,+48987652375,2021-02-15 00:00:00.000
124,adam.smith@outlook.com,+48111222330,2022-03-25 00:00:00.000
125,magda.brown@yahoo.com,+48123123450,2021-04-01 00:00:00.000
126,piotr.lee@aol.com,+48654321987,2022-05-12 00:00:00.000
127,ewa.johnson@icloud.com,+48111000999,2021-06-30 00:00:00.000
128,marcin.davis@gmx.com,+48123456089,2022-07-07 00:00:00.000
129,katarzyna.miller@t-online.de,+48987745236,2021-08-20 00:00:00.000
130,tomek.taylor@protonmail.com,+48111222333,2022-09-01 00:00:00.000
131,ola.thomas@inbox.com,+48123123456,2021-10-05 00:00:00.000
132,abc@gmail.com,123123123,2023-01-02 15:44:50.980
134,contact@motorola.com,+48508432230,2023-01-09 01:13:17.980
136,andrzej.skot@gmail.com,+48323432123,2023-01-09 01:19:03.427
137,laura.skot@gmail.com,+48123321238,2023-01-09 01:20:02.030
138,jan.kowalski@interia.pl,+48123456789,2023-01-09 01:31:27.443
139,anna.nowak@wp.pl,+48987654321,2023-01-09 01:31:27.447
140,piotr.wisniewski@o2.pl,+48123123123,2023-01-09 01:31:27.447
141,marta.wisniewska@gmail.com,+48222222222,2023-01-09 01:42:48.590
142,kamil.nowakowski@wp.pl,+48333333333,2023-01-09 01:42:48.607
143,agnieszka.kowalska@o2.pl,+48444444444,2023-01-09 01:42:48.610
144,pawel.kowalczyk@gmail.com,+48555555555,2023-01-09 01:42:48.610
145,karolina.nowak@wp.pl,+48666666666,2023-01-09 01:43:13.773
146,marcin.wisniewski@o2.pl,+48777777777,2023-01-09 01:43:13.777
147,magdalena.kowalska@gmail.com,+48888888888,2023-01-09 01:43:13.780
148,example@mail.com,123456789,2023-01-09 08:24:59.013
149,antoni@peperoni.com,+48503123179,2023-01-16 12:23:45.250
